연도,지표,0.05m,0.1m,0.2m,0.3m,0.5m,1m,1.5m,3m,5m
1973,14.4,14.3,14.4,14.5,14.5,14.9,14.8,14.7,14.8,14.8
1974,13.1,13.1,13.2,13.4,13.4,13.9,13.8,13.9,14.2,14.5
1975,14.4,14.4,14.5,14.7,14.6,14.9,14.8,14.7,14.7,14.6
1976,13.4,13.5,13.7,13.8,13.8,14.1,14.3,14.1,14.5,14.7
1977,14.1,14.3,14.4,14.5,14.5,14.6,14.6,14.4,14.5,14.4
1978,14.8,14.8,15,15,15.1,15.2,15.3,15.1,15.2,15
1979,14.6,14.5,14.7,14.8,14.8,15.1,15.3,15.1,15.3,15.1
1980,13.2,13.1,13.4,13.5,13.7,14,14.3,14.3,14.7,14.7
1981,13.6,13.4,13.7,13.7,13.8,13.9,14.2,14.1,14.5,14.5
1982,14.7,14.6,14.8,14.8,14.9,14.9,14.9,14.6,14.7,14.7
1983,14.4,14.3,14.5,14.6,14.7,14.8,14.9,14.7,14.8,14.9
1984,14.1,14.1,14.2,14.3,14.4,14.3,14.5,14.4,14.9,14.9
1985,14.3,14.3,14.4,14.5,14.6,14.6,14.8,14.8,15.1,15.1
1986,13.8,13.7,13.9,13.9,13.9,14,14.2,14,14.5,14.8
1987,14.3,14.2,14.4,14.5,14.5,14.6,14.8,14.6,14.8,14.7
1988,14.5,14.2,14.5,14.6,14.6,14.7,14.9,14.7,14.9,14.8
1989,14.9,14.8,15,15,15,15.1,15.3,15,15.1,15
1990,15,14.9,15.1,15,15.2,15.3,15.5,15.2,15.4,15.3
1991,14.4,14.7,14.6,14.7,14.8,15,15.3,15.7,15.8,15.7
1992,14.5,14.7,14.7,14.8,14.8,15.1,15.2,15.6,15.6,15.4
1993,13.9,14.1,14.2,14.3,14.3,14.7,14.9,15,15.4,15.3
1994,15.6,15.6,15.8,15.8,15.6,15.7,15.7,15.6,15.6,15.5
1995,14.2,14.1,14.3,14.5,14.5,14.7,15.1,15.4,15.6,15.4
1996,14.1,14.2,14.3,14.4,14.4,14.6,14.8,15.2,15.4,15.4
1997,14.7,14.8,14.9,15.1,15,15.1,15.4,15.4,15.6,15.5
1998,15.4,15.6,15.6,15.7,15.7,16,16.2,16.2,16.3,16
1999,14.8,14.9,15.1,15.1,15.2,15.6,16,16.1,16.4,16.3
2000,14.5,14.1,14.2,14.3,14.5,15.2,15.5,15.5,16.2,16.4
2001,14.9,14.9,15,15,15.1,15.4,15.7,15.6,16.2,16.1
2002,14.6,14.5,14.7,14.7,14.9,15.2,15.6,15.8,16.2,16.2
2003,14.3,14.3,14.5,14.6,14.7,15.1,15.6,15.6,16,16.1
2004,15.1,15.3,15.4,15.5,15.5,15.9,16.2,16.2,16.5,16.3
2005,14.3,14.5,14.6,14.7,14.8,15.4,15.7,16,16.4,16.4
2006,14.8,15,15,15,15.1,15.5,15.7,15.9,16.3,16.3
2007,14.7,14.9,15,15.1,15.2,15.9,16.1,16.3,16.5,16.5
2008,14.8,14.6,14.6,14.7,14.8,15.4,15.6,15.9,16.1,16.3
2009,14.9,15,15.2,15.4,15.5,16.2,16.5,16.6,16.8,16.7
2010,14.5,14.3,14.5,14.8,14.8,15.3,15.6,15.8,16.2,16.3
2011,14.4,14.1,14.2,14.4,14.5,15.1,15.5,15.8,16.3,16.4
2012,14.5,14,14.4,14.5,14.7,15.2,15.6,15.9,16.4,16.5
2013,14.9,14.2,14.5,14.5,14.5,15.2,15.4,15.5,15.7,15.7
2014,15.1,14.8,14.7,14.9,14.8,15.5,15.6,15.7,16.1,16.1
2015,15.7,15.3,15.3,15.4,15.3,15.5,15.6,15.5,15.8,16
2016,15.9,15.6,15.7,15.9,15.9,16,16.1,16.1,16.3,16.2
2017,15.7,15.4,15.4,15.6,15.8,15.9,16.1,16.2,16.6,16.6
2018,15.4,15.2,15.1,15.3,15.4,15.6,15.8,15.9,16.4,16.5
2019,15.6,15.4,15.2,15.4,15.6,15.8,16,16.1,16.5,16.6
2020,15.5,15.3,15.3,15.5,15.7,16,16.2,16.4,16.8,16.9
2021,15.9,15.7,15.5,15.6,15.8,16.1,16.3,16.4,16.6,16.8
2022,15.9,15.5,15.4,15.5,15.6,16,16.3,16.5,16.9,16.9
2023,16.6,15.9,15.9,15.9,15.9,16.8,16.7,16.8,17.1,17.1
