year,agriculture_forestry_fishing,mining,manufacturing,utilities,wholesale,retail,real_estate_sales,construction,food_service,accommodation,transportation_storage_communications,real_estate_rental,agency_brokerage_contracting,service_industry
2015,319,15,32735,219,28756,43473,1615,17468,32843,961,30378,54453,3272,54116
2016,333,20,32786,272,28635,42810,1746,17748,33122,949,30380,57294,3586,56269
2017,375,17,33359,414,29030,43583,1932,18384,33723,941,30239,61343,3860,59320
2018,390,14,33764,700,29290,44755,2200,19127,34332,898,30132,66580,4142,62491
2019,444,14,33941,864,29680,46568,2708,19923,35010,875,30198,69733,4259,65720
2020,506,13,34230,984,30188,50416,3221,21107,35787,828,30412,77148,4244,69551
2021,584,13,34620,1099,30710,55365,3626,22540,36783,791,30968,80431,4267,73777
2022,644,15,34910,1276,31170,61539,3749,23631,37435,783,31649,82064,4294,77449
2023,965,15,35185,2209,31332,65206,3861,24765,37779,871,32281,82924,4367,81143
